ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
62,62,Monumen Perjuangan Rakyat Jawa Barat,jawa barat,Kota Bandung,"Jl. Dipati Ukur No.48, Lebakgede",-6.892921438,107.6229716,Museum Khusus,Tipe C,Dinas Pariwisata Dan Kebudayaan Provinsi Jawa Barat,lihat foto,,,400
63,63,Museum Amerta Dirgantara Mandala Lanud Suryadarma,jawa barat,Subang,"Kawasan Pangkalan TNI Angkatan Udara Suryadarma, Kalijati, Subang, Jawa Barat",-6.535503153,107.6671398,Museum Khusus,Tipe C,Dinas Penerangan TNI Angkatan Udara,lihat foto,,,7500
64,64,Museum Barli,jawa barat,Kota Bandung,"Jl. Prof. Dr. Sutami No. 91, Sukarasa, Kecamatan Sukasari, Kota Bandung, Jawa Barat 40152",-6.877436476,107.5904284,Museum Khusus,Tipe c,Barli Sasmitawinata,lihat foto,,,3000
65,65,Museum Bio Farma,jawa barat,Kota Bandung,Jl.Pasteur No.28,-6.899248112,107.6001491,Museum Khusus,Belom Memenuhi Standar,Corporate Cominications Biofarma,lihat foto,,,12000
66,66,Museum Daerah Kabupaten Subang,jawa barat,Subang,Jl. Ade Irma Suryani Nasution No. 2,-6.566952819,107.7835699,Museum Umum,Tipe C,Pemerintah Daerah Kabupaten Subang melalui Dinas Pendidikan dan Kebudayaan,lihat foto,,,1200
67,67,Museum Galuh Pakuan,jawa barat,Ciamis,Jl. K.H. Ahmad Dahlan No. 53,-7.332612976,108.3505241,Museum Khusus,Tipe C,Ilham Purwa,lihat foto,,,3000
68,68,Museum Gedung Perundingan Linggarjati,jawa barat,Kuningan,"Desa Linggarjati, Kecamatan Cilimus, Kabupaten Kuningan, Jawa Barat",-6.88106262,108.4756491,Museum Khusus,Tipe C,Dinas Pendidikan Dan Kebudayaan Kuningan,lihat foto,,,5120
69,69,Museum Gedung Pusaka Keraton Kanoman,jawa barat,Kota Cirebon,"Jl.Merdeka No. 28, Kelurahan Lemahwungkuk, Kota Cirebon, Jawa Barat",-6.722783027,108.5685859,Museum Khusus,Tipe C,P.R.M. Hamzah,lihat foto,,,3120
70,70,Museum Gedung Sate,jawa barat,Kota Bandung,Jl.Diponegoro No.22,-6.901572792,107.6199415,Museum Khusus,Tipe C,Biro Umum & Biro Humas & Keprotokolan,lihat foto,,,6000
71,71,Museum Geologi Bandung,jawa barat,Kota Bandung,Jl.Diponegoro No.57,-6.899906715,107.6230003,Museum Khusus,Tipe A,Unit Pelaksaan Teknis Museum Geologi,lihat foto,,,500
